"","ozempic_opinion","income_score","genetics","OZread","OZUSE_a_W142","partylean","gender","genetics_collapsed","opinion_collapsed"
"843","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"844","Not too much","Upper Income","Some","A lot","Yes","Republican","Male","Some","Not too much"
"845","Nothing at all","Middle Income","Not too much","A little","No","Democrat","Female","Low","Nothing at all"
"846","Not too much","Middle Income","Some","A lot","Not sure","Democrat","Female","Some","Not too much"
"847","Some","Upper Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Some"
"848","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","A lot"
"849","Quite a bit","Upper Income","Some","A lot","Yes","Republican","Male","Some","A lot"
"850","Not too much","Lower Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Not too much"
"851","Not too much","Upper Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Not too much"
"852","Not too much","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Not too much"
"853","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"854","Some","Middle Income","Not at all","A little","No","Republican","Male","Low","Some"
"855","Not too much","Upper Income","Some","A little","No","Republican","Male","Some","Not too much"
"856","Not too much","Upper Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Not too much"
"857","Some","Middle Income","Not at all","A little","Yes","Democrat","Male","Low","Some"
"858","Some","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"859","Quite a bit","Middle Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"860","Some","Middle Income","Quite a bit","A lot","No","Republican","Male","Quite a bit","Some"
"861","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"862","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"863","Some","Upper Income","Some","A little","No","Republican","Male","Some","Some"
"864","Not too much","Upper Income","Some","A little","Not sure","Democrat","Female","Some","Not too much"
"865","Not too much","Middle Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"866","Not too much","Lower Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"867","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"868","Not too much","Upper Income","Not too much","A lot","Not sure","Republican","Male","Low","Not too much"
"869","Not too much","Upper Income","Some","A lot","Yes","Republican","Female","Some","Not too much"
"870","Some","Upper Income","Some","A lot","Yes","Republican","Male","Some","Some"
"871","Some","Middle Income","Some","A little","No","Republican","Male","Some","Some"
"872","A great deal","Upper Income","Some","A lot","Yes","Democrat","Male","Some","A lot"
"873","Quite a bit","Lower Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","A lot"
"874","A great deal","Middle Income","A great deal","A lot","Not sure","Republican","Female","A great deal","A lot"
"875","Some","Upper Income","A great deal","A lot","Yes","Republican","Male","A great deal","Some"
"876","Not too much","Upper Income","A great deal","A little","Not sure","Republican","Male","A great deal","Not too much"
"877","Not too much","Middle Income","Some","A little","No","Republican","Male","Some","Not too much"
"878","Not too much","Middle Income","Not too much","A little","No","Republican","Female","Low","Not too much"
"879","Some","Lower Income","Some","A little","No","Republican","Female","Some","Some"
"880","Some","Lower Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Some"
"881","Not too much","Middle Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Not too much"
"882","Not too much","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"883","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"884","Some","Lower Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Some"
"885","Not too much","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Not too much"
"886","Some","Upper Income","Some","A lot","Yes","Republican","Female","Some","Some"
"887","Some","Lower Income","Some","A little","Yes","Democrat","Female","Some","Some"
"888","Not too much","Lower Income","Some","A little","No","Republican","Male","Some","Not too much"
"889","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"890","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"891","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"892","Not too much","Middle Income","A great deal","A little","No","Republican","Male","A great deal","Not too much"
"893","Not too much","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Not too much"
"894","A great deal","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"895","Some","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"896","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"897","Nothing at all","Upper Income","Not at all","A lot","Not sure","Republican","Male","Low","Nothing at all"
"898","Not too much","Lower Income","Not too much","A lot","No","Republican","Female","Low","Not too much"
"899","Some","Upper Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Some"
"900","Quite a bit","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"901","Not too much","Middle Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"902","Not too much","Lower Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"903","Not too much","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"904","Not too much","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","Not too much"
"905","Quite a bit","Upper Income","Not at all","A lot","Yes","Republican","Female","Low","A lot"
"906","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"907","Not too much","Middle Income","Some","A little","Not sure","Democrat","Male","Some","Not too much"
"908","Some","Lower Income","Some","A little","Yes","Republican","Female","Some","Some"
"909","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Not too much"
"910","Some","Upper Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"911","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"912","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"913","Some","Lower Income","Quite a bit","A lot","Not sure","Democrat","Female","Quite a bit","Some"
"914","Some","Upper Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"915","Some","Upper Income","Some","A lot","Yes","Republican","Female","Some","Some"
"916","Not too much","Upper Income","A great deal","A little","No","Republican","Male","A great deal","Not too much"
"917","Not too much","Lower Income","A great deal","A little","No","Democrat","Female","A great deal","Not too much"
"918","Some","Upper Income","Some","A little","Yes","Democrat","Female","Some","Some"
"919","Some","Lower Income","A great deal","A little","No","Democrat","Female","A great deal","Some"
"920","Some","Lower Income","Some","A little","Not sure","Democrat","Male","Some","Some"
"921","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"922","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"923","Not too much","Middle Income","Not too much","A little","No","Republican","Male","Low","Not too much"
"924","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"925","Nothing at all","Middle Income","Some","A little","Not sure","Republican","Female","Some","Nothing at all"
"926","Some","Middle Income","Some","A lot","Not sure","Republican","Male","Some","Some"
"927","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"928","Not too much","Middle Income","Some","A little","No","Republican","Female","Some","Not too much"
"929","Some","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"930","Not too much","Upper Income","A great deal","A lot","Yes","Republican","Female","A great deal","Not too much"
"931","Quite a bit","Middle Income","A great deal","A little","Yes","Democrat","Male","A great deal","A lot"
"932","Some","Middle Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"933","Not too much","Middle Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"934","Some","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"935","Some","Middle Income","Some","A lot","Yes","Republican","Male","Some","Some"
"936","Some","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"937","Not too much","Middle Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","Not too much"
"938","Not too much","Upper Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"939","Not too much","Upper Income","Not too much","A little","Not sure","Democrat","Male","Low","Not too much"
"940","Not too much","Lower Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"941","Not too much","Lower Income","Some","A little","No","Republican","Female","Some","Not too much"
"942","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"943","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"944","Some","Lower Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Some"
"945","Not too much","Lower Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"946","Not too much","Middle Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Not too much"
"947","Nothing at all","Middle Income","Some","A little","No","Republican","Male","Some","Nothing at all"
"948","Some","Upper Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"949","Some","Upper Income","A great deal","A little","Yes","Republican","Male","A great deal","Some"
"950","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"951","Not too much","Upper Income","Some","A little","Not sure","Democrat","Female","Some","Not too much"
"952","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"953","Some","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Some"
"954","Not too much","Middle Income","A great deal","A little","Not sure","Republican","Female","A great deal","Not too much"
"955","Some","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Some"
"956","A great deal","Middle Income","Some","A lot","Yes","Democrat","Male","Some","A lot"
"957","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
